Sold:   price = 388.22 ||  money = 100.00
Buy:    price = 387.91 ||  money = 100.00
*******************************************************
Sold:   price = 389.15 ||  money = 100.16
Buy:    price = 383.44 ||  money = 100.16
*******************************************************
Sold:   price = 384.12 ||  money = 100.25
Buy:    price = 382.68 ||  money = 100.25
*******************************************************
Sold:   price = 385.40 ||  money = 100.60
Buy:    price = 379.07 ||  money = 100.60
*******************************************************
Sold:   price = 379.81 ||  money = 100.70
Buy:    price = 379.28 ||  money = 100.70
*******************************************************
Sold:   price = 380.38 ||  money = 100.85
Buy:    price = 379.90 ||  money = 100.85
*******************************************************
Sold:   price = 381.33 ||  money = 101.04
Buy:    price = 380.40 ||  money = 101.04
*******************************************************
Sold:   price = 384.82 ||  money = 101.63
Buy:    price = 384.54 ||  money = 101.63
*******************************************************
Sold:   price = 384.55 ||  money = 101.63
Buy:    price = 377.79 ||  money = 101.63
*******************************************************
Sold:   price = 380.46 ||  money = 101.99
Buy:    price = 379.47 ||  money = 101.99
*******************************************************
Sold:   price = 383.73 ||  money = 102.56
Buy:    price = 382.63 ||  money = 102.56
*******************************************************
Sold:   price = 383.45 ||  money = 102.67
Buy:    price = 383.03 ||  money = 102.67
*******************************************************
Sold:   price = 383.07 ||  money = 102.67
Buy:    price = 382.12 ||  money = 102.67
*******************************************************
Sold:   price = 384.16 ||  money = 102.95
Buy:    price = 383.99 ||  money = 102.95
*******************************************************
Sold:   price = 384.37 ||  money = 103.00
Buy:    price = 383.95 ||  money = 103.00
*******************************************************
Sold:   price = 384.23 ||  money = 103.04
Buy:    price = 384.21 ||  money = 103.04
*******************************************************
Sold:   price = 384.87 ||  money = 103.13
Buy:    price = 383.90 ||  money = 103.13
*******************************************************
Sold:   price = 384.04 ||  money = 103.14
Buy:    price = 383.16 ||  money = 103.14
*******************************************************
Sold:   price = 384.47 ||  money = 103.32
Buy:    price = 384.33 ||  money = 103.32
*******************************************************
Sold:   price = 386.89 ||  money = 103.66
Buy:    price = 386.53 ||  money = 103.66
*******************************************************
Sold:   price = 386.55 ||  money = 103.67
Buy:    price = 384.23 ||  money = 103.67
*******************************************************
Sold:   price = 384.50 ||  money = 103.70
Buy:    price = 384.23 ||  money = 103.70
*******************************************************
Sold:   price = 385.85 ||  money = 103.92
Buy:    price = 383.20 ||  money = 103.92
*******************************************************
Sold:   price = 385.22 ||  money = 104.20
Buy:    price = 380.94 ||  money = 104.20
*******************************************************
Sold:   price = 381.49 ||  money = 104.27
Buy:    price = 381.18 ||  money = 104.27
*******************************************************
Sold:   price = 383.78 ||  money = 104.63
Buy:    price = 379.56 ||  money = 104.63
*******************************************************
Sold:   price = 382.29 ||  money = 105.00
Buy:    price = 381.58 ||  money = 105.00
*******************************************************
Sold:   price = 381.72 ||  money = 105.02
Buy:    price = 380.49 ||  money = 105.02
*******************************************************
Sold:   price = 381.15 ||  money = 105.11
Buy:    price = 379.69 ||  money = 105.11
*******************************************************
Sold:   price = 380.09 ||  money = 105.17
Buy:    price = 380.03 ||  money = 105.17
*******************************************************
Sold:   price = 381.52 ||  money = 105.38
Buy:    price = 380.04 ||  money = 105.38
*******************************************************
Sold:   price = 382.18 ||  money = 105.67
Buy:    price = 379.55 ||  money = 105.67
*******************************************************
Sold:   price = 383.54 ||  money = 106.23
Buy:    price = 382.93 ||  money = 106.23
*******************************************************
Sold:   price = 383.04 ||  money = 106.24
Buy:    price = 382.01 ||  money = 106.24
*******************************************************
Sold:   price = 382.06 ||  money = 106.25
Buy:    price = 380.24 ||  money = 106.25
*******************************************************
Sold:   price = 380.74 ||  money = 106.32
Buy:    price = 380.02 ||  money = 106.32
*******************************************************
Sold:   price = 382.56 ||  money = 106.67
Buy:    price = 381.46 ||  money = 106.67
*******************************************************
Sold:   price = 382.59 ||  money = 106.83
Buy:    price = 381.59 ||  money = 106.83
*******************************************************
Sold:   price = 383.61 ||  money = 107.12
Buy:    price = 383.22 ||  money = 107.12
*******************************************************
Sold:   price = 387.76 ||  money = 107.75
Buy:    price = 385.18 ||  money = 107.75
*******************************************************
Sold:   price = 385.92 ||  money = 107.85
Buy:    price = 385.81 ||  money = 107.85
*******************************************************
Sold:   price = 389.88 ||  money = 108.42
Buy:    price = 389.84 ||  money = 108.42
*******************************************************
Sold:   price = 392.45 ||  money = 108.79
Buy:    price = 390.88 ||  money = 108.79
*******************************************************
Sold:   price = 391.71 ||  money = 108.90
Buy:    price = 388.59 ||  money = 108.90
*******************************************************
Sold:   price = 389.79 ||  money = 109.07
Buy:    price = 388.68 ||  money = 109.07
*******************************************************
Sold:   price = 389.29 ||  money = 109.15
Buy:    price = 387.73 ||  money = 109.15
*******************************************************
Sold:   price = 388.57 ||  money = 109.27
Buy:    price = 386.58 ||  money = 109.27
*******************************************************
Sold:   price = 388.31 ||  money = 109.52
Buy:    price = 386.01 ||  money = 109.52
*******************************************************
Sold:   price = 388.29 ||  money = 109.84
Buy:    price = 385.81 ||  money = 109.84
*******************************************************
Sold:   price = 388.82 ||  money = 110.27
Buy:    price = 385.98 ||  money = 110.27
*******************************************************
Sold:   price = 387.09 ||  money = 110.43
Buy:    price = 384.86 ||  money = 110.43
*******************************************************
Sold:   price = 385.31 ||  money = 110.49
Buy:    price = 384.31 ||  money = 110.49
*******************************************************
Sold:   price = 385.61 ||  money = 110.68
Buy:    price = 385.35 ||  money = 110.68
*******************************************************
Sold:   price = 385.40 ||  money = 110.69
